graph_layer,factor_name,label_horizon,label_variant,sample_size,rank_ic,top_decile_mean,bottom_decile_mean,top_bottom_spread,top_decile_hit_rate,layer_role,score,confidence_bucket,research_action
flow_alignment_graph,community_member_count,5m,member_weight,27746,0.0162855812975204,-2.716049142730418e-05,-0.0006567009114173,0.00062954041999,0.4956741167988464,event_alignment_layer,0.07236035594685386,strong_sample,keep_for_next_round
dtw_trade_flow_similarity_graph,community_member_count,5m,equal_weight,1998,-0.0215474243559454,-3.678214838201365e-05,-0.000148459339547,0.000111677191165,0.5175879396984925,pair_flow_leadlag_candidate,0.07112401399439691,watch,watch
dtw_trade_flow_similarity_graph,community_member_count,5m,member_weight,1998,-0.0215474243559454,-3.678214838201365e-05,-0.000148459339547,0.000111677191165,0.5175879396984925,pair_flow_leadlag_candidate,0.07112401399439691,watch,watch
return_corr_graph,community_member_count,15m,top10_member,24642,0.0161702847125657,0.0003791021614537,9.25109964241486e-06,0.0003698510618113,0.5081168831168831,beta_context_layer,0.07101493551103291,strong_sample,keep_for_next_round
large_trade_alignment_graph,community_mean_volume_z_12,5m,equal_weight,45,-0.042292490118577,-0.0003549039335795,-0.0023185603704544,0.0019636564368748,0.25,sparse_event_flag,0.07032216916597948,ignore,ignore_sparse
large_trade_alignment_graph,community_mean_volume_z_12,5m,member_weight,45,-0.042292490118577,-0.0003549039335795,-0.0023185603704544,0.0019636564368748,0.25,sparse_event_flag,0.07032216916597948,ignore,ignore_sparse
large_trade_alignment_graph,community_mean_volume_z_12,5m,top10_member,45,-0.042292490118577,-0.0003549039335795,-0.0023185603704544,0.0019636564368748,0.25,sparse_event_flag,0.07032216916597948,ignore,ignore_sparse
dtw_trade_flow_similarity_graph,edge_density_feature,5m,top5_member,1998,0.0210026256290286,0.0005729440707388,-0.0002095053832146,0.0007824494539534,0.5728643216080402,pair_flow_leadlag_candidate,0.06932573538637067,watch,watch
volume_expansion_graph,feature_coverage_ratio,5m,top5_member,26873,0.0155607102156407,0.0001035630936742,-0.0003210495209627,0.000424612614637,0.4938593226646818,theme_candidate_layer,0.06892355656869527,strong_sample,prioritize_for_next_round
return_corr_graph,community_member_count,5m,equal_weight,24893,0.0156445399109428,5.895226394400656e-05,-4.578741274947727e-05,0.0001047396766934,0.5002008838891121,beta_context_layer,0.0687748787550923,strong_sample,keep_for_next_round
