strategy_id,entry_standard,exit_standard,holding_policy,total_return,annualized_return,annualized_volatility,sharpe,max_drawdown,win_rate,trade_count,avg_holding_days,open_trade_ratio,return_from_long_holds,long_hold_contribution
E4_X7_H2,Cross-resolution Confirmation,Composite Structural Exit,Fixed 3D,0.18167761011699457,1.0160246063644927,0.23561606638909802,3.0969054635686044,-0.05321190729709846,0.5974842767295597,159,1.069182389937107,0.018867924528301886,0.0,0.0
E4_X7_H3,Cross-resolution Confirmation,Composite Structural Exit,Fixed 5D,0.18167761011699457,1.0160246063644927,0.23561606638909802,3.0969054635686044,-0.05321190729709846,0.5974842767295597,159,1.069182389937107,0.018867924528301886,0.0,0.0
E4_X7_H4,Cross-resolution Confirmation,Composite Structural Exit,Fixed 10D,0.18167761011699457,1.0160246063644927,0.23561606638909802,3.0969054635686044,-0.05321190729709846,0.5974842767295597,159,1.069182389937107,0.018867924528301886,0.0,0.0
E4_X7_H5,Cross-resolution Confirmation,Composite Structural Exit,Event-driven Hold,0.18167761011699457,1.0160246063644927,0.23561606638909802,3.0969054635686044,-0.05321190729709846,0.5974842767295597,159,1.069182389937107,0.018867924528301886,0.0,0.0
E3_X4_H2,15m Confirmation,Breadth Breakdown,Fixed 3D,0.1685820889969012,0.9238391008911755,0.21996173455114057,3.0882831942757694,-0.06041338155818421,0.6172839506172839,162,1.0740740740740742,0.018518518518518517,0.0,0.0
E4_X1_H1,Cross-resolution Confirmation,No Signal Exit,Fixed 1D,0.1765971233557666,0.9798700475055664,0.23228146807129368,3.0599830508862,-0.05343499602137902,0.5953757225433526,173,0.9826589595375722,0.017341040462427744,0.0,0.0
E4_X2_H1,Cross-resolution Confirmation,Lifecycle Exit,Fixed 1D,0.1765971233557666,0.9798700475055664,0.23228146807129368,3.0599830508862,-0.05343499602137902,0.5953757225433526,173,0.9826589595375722,0.017341040462427744,0.0,0.0
E4_X3_H1,Cross-resolution Confirmation,Coherence Breakdown,Fixed 1D,0.1765971233557666,0.9798700475055664,0.23228146807129368,3.0599830508862,-0.05343499602137902,0.5953757225433526,173,0.9826589595375722,0.017341040462427744,0.0,0.0
E4_X4_H1,Cross-resolution Confirmation,Breadth Breakdown,Fixed 1D,0.1765971233557666,0.9798700475055664,0.23228146807129368,3.0599830508862,-0.05343499602137902,0.5953757225433526,173,0.9826589595375722,0.017341040462427744,0.0,0.0
E4_X5_H1,Cross-resolution Confirmation,Relative Strength Exit,Fixed 1D,0.1765971233557666,0.9798700475055664,0.23228146807129368,3.0599830508862,-0.05343499602137902,0.5953757225433526,173,0.9826589595375722,0.017341040462427744,0.0,0.0
E4_X6_H1,Cross-resolution Confirmation,Rotation-out Exit,Fixed 1D,0.1765971233557666,0.9798700475055664,0.23228146807129368,3.0599830508862,-0.05343499602137902,0.5953757225433526,173,0.9826589595375722,0.017341040462427744,0.0,0.0
E4_X7_H1,Cross-resolution Confirmation,Composite Structural Exit,Fixed 1D,0.1765971233557666,0.9798700475055664,0.23228146807129368,3.0599830508862,-0.05343499602137902,0.5953757225433526,173,0.9826589595375722,0.017341040462427744,0.0,0.0
E4_X4_H3,Cross-resolution Confirmation,Breadth Breakdown,Fixed 5D,0.16641777351094555,0.9089182957468591,0.23600740462971076,2.860287061466324,-0.05002626966421586,0.5935483870967742,155,1.096774193548387,0.01935483870967742,0.0,0.0
E4_X4_H4,Cross-resolution Confirmation,Breadth Breakdown,Fixed 10D,0.16641777351094555,0.9089182957468591,0.23600740462971076,2.860287061466324,-0.05002626966421586,0.5935483870967742,155,1.096774193548387,0.01935483870967742,0.0,0.0
E4_X4_H5,Cross-resolution Confirmation,Breadth Breakdown,Event-driven Hold,0.16641777351094555,0.9089182957468591,0.23600740462971076,2.860287061466324,-0.05002626966421586,0.5935483870967742,155,1.096774193548387,0.01935483870967742,0.0,0.0
E3_X7_H2,15m Confirmation,Composite Structural Exit,Fixed 3D,0.15658867220813666,0.8422625539872859,0.2237706016074469,2.8455296713942198,-0.0711298725562659,0.6219512195121951,164,1.0609756097560976,0.018292682926829267,0.0,0.0
E3_X7_H3,15m Confirmation,Composite Structural Exit,Fixed 5D,0.15658867220813666,0.8422625539872859,0.2237706016074469,2.8455296713942198,-0.0711298725562659,0.6219512195121951,164,1.0609756097560976,0.018292682926829267,0.0,0.0
E3_X7_H4,15m Confirmation,Composite Structural Exit,Fixed 10D,0.15658867220813666,0.8422625539872859,0.2237706016074469,2.8455296713942198,-0.0711298725562659,0.6219512195121951,164,1.0609756097560976,0.018292682926829267,0.0,0.0
E3_X7_H5,15m Confirmation,Composite Structural Exit,Event-driven Hold,0.15658867220813666,0.8422625539872859,0.2237706016074469,2.8455296713942198,-0.0711298725562659,0.6219512195121951,164,1.0609756097560976,0.018292682926829267,0.0,0.0
E4_X4_H2,Cross-resolution Confirmation,Breadth Breakdown,Fixed 3D,0.16176484085946385,0.8771395582334003,0.23534165548685335,2.7962007715125905,-0.05002626966421586,0.5961538461538461,156,1.0897435897435896,0.019230769230769232,0.0,0.0
E3_X5_H2,15m Confirmation,Relative Strength Exit,Fixed 3D,0.14439917406907288,0.7620801137852868,0.22516555092639337,2.6311689902205395,-0.07850312343655252,0.6121212121212121,165,1.0545454545454545,0.01818181818181818,0.0,0.0
