graph_layer,factor_name,label_horizon,label_variant,sample_size,rank_ic,top_decile_mean,bottom_decile_mean,top_bottom_spread,top_decile_hit_rate
flow_alignment_graph,community_quality_score,5m,equal_weight,27044,-0.003828429739036181,-0.00015006595801232624,-2.1022910022705334e-05,-0.00012904304798962092,0.4870562130177515
flow_alignment_graph,community_quality_score,15m,equal_weight,26980,-0.023264229686084964,-0.0004792482844837039,4.917993147846317e-05,-0.000528428215962167,0.47516679021497404
flow_alignment_graph,community_quality_score,30m,equal_weight,26903,-0.015024250524483598,-0.000496985704320017,0.00013057939701493357,-0.0006275651013349506,0.4795539033457249
flow_alignment_graph,community_quality_score,1m,member_weight,27127,-0.004962869443582123,-0.00014488716637830212,0.00010699925401742322,-0.00025188642039572533,0.49336283185840707
flow_alignment_graph,community_quality_score,5m,member_weight,27044,-0.003828429739036181,-0.00015006595801232624,-2.1022910022705334e-05,-0.00012904304798962092,0.4870562130177515
flow_alignment_graph,community_quality_score,15m,member_weight,26980,-0.023264229686084964,-0.0004792482844837039,4.917993147846317e-05,-0.000528428215962167,0.47516679021497404
flow_alignment_graph,community_quality_score,30m,member_weight,26903,-0.015024250524483598,-0.000496985704320017,0.00013057939701493357,-0.0006275651013349506,0.4795539033457249
flow_alignment_graph,community_quality_score,1m,top5_member,27127,-0.002193226705882085,-0.00016229118881520466,0.0001319427880414117,-0.0002942339768566164,0.4918879056047198
flow_alignment_graph,community_quality_score,5m,top5_member,26971,-0.005013634188329894,-0.0001520461939352857,8.460874481026144e-05,-0.00023665493874554713,0.4916573971078977
flow_alignment_graph,community_quality_score,15m,top5_member,26603,-0.01153135297900209,-0.0005037980487990004,-5.680780361829364e-05,-0.00044699024518070677,0.4763157894736842
flow_alignment_graph,community_quality_score,30m,top5_member,25912,-0.008604488876935113,-0.0006052081025543407,0.0001136193848960042,-0.0007188274874503449,0.4797375530683134
flow_alignment_graph,community_quality_score,1m,top10_member,27127,-0.007458413455831854,-0.00014703574548329554,0.00014938306321430792,-0.00029641880869760346,0.49004424778761063
flow_alignment_graph,community_quality_score,5m,top10_member,27025,-0.00793009990473019,-0.00014144303522348414,8.906774921087988e-05,-0.00023051078443436402,0.48815692079940787
flow_alignment_graph,community_quality_score,15m,top10_member,26802,-0.01808493317101823,-0.0004773651078231308,1.4892214155170301e-06,-0.0004788543292386478,0.475
flow_alignment_graph,community_quality_score,30m,top10_member,26322,-0.010350155613548922,-0.0005109860745096827,0.00012656919961487635,-0.000637555274124559,0.4798632218844985
flow_alignment_graph,community_quality_score,1m,core_weighted,27127,-0.005008298607652649,-0.00015764736447905655,0.00010559475390701434,-0.00026324211838607087,0.49889380530973454
flow_alignment_graph,community_quality_score,5m,core_weighted,27044,-0.0034596106636999376,-0.00015582422792584765,-1.798275108443448e-05,-0.00013784147684141318,0.4881656804733728
flow_alignment_graph,community_quality_score,15m,core_weighted,26980,-0.022911451810221157,-0.0004886317396977647,5.672746263575892e-05,-0.0005453592023335237,0.4744255003706449
flow_alignment_graph,community_quality_score,30m,core_weighted,26903,-0.014921678353116962,-0.00048270848407470685,0.00014972052973965025,-0.0006324290138143571,0.48104089219330853
large_trade_alignment_graph,community_avg_weight_feature,1m,equal_weight,49,0.0913314604287391,0.00031480385809917744,-0.0003815403473367146,0.000696344205435892,1.0
large_trade_alignment_graph,community_avg_weight_feature,5m,equal_weight,49,0.3438028485093087,-0.0006223786619065502,-0.0036544471087435193,0.003032068446836969,0.5
large_trade_alignment_graph,community_avg_weight_feature,15m,equal_weight,49,0.24194104534272284,-0.0010511636873715747,-0.0016856496205251564,0.0006344859331535817,0.25
large_trade_alignment_graph,community_avg_weight_feature,30m,equal_weight,48,0.05647424543803693,-0.0018322567108202588,-0.0010350031813088356,-0.0007972535295114231,0.0
large_trade_alignment_graph,community_avg_weight_feature,1m,member_weight,49,0.0913314604287391,0.00031480385809917744,-0.0003815403473367146,0.000696344205435892,1.0
large_trade_alignment_graph,community_avg_weight_feature,5m,member_weight,49,0.3438028485093087,-0.0006223786619065502,-0.0036544471087435193,0.003032068446836969,0.5
large_trade_alignment_graph,community_avg_weight_feature,15m,member_weight,49,0.24194104534272284,-0.0010511636873715747,-0.0016856496205251564,0.0006344859331535817,0.25
large_trade_alignment_graph,community_avg_weight_feature,30m,member_weight,48,0.05647424543803693,-0.0018322567108202588,-0.0010350031813088356,-0.0007972535295114231,0.0
large_trade_alignment_graph,community_avg_weight_feature,1m,top5_member,49,0.0913314604287391,0.00031480385809917744,-0.0003815403473367146,0.000696344205435892,1.0
large_trade_alignment_graph,community_avg_weight_feature,5m,top5_member,49,0.3438028485093087,-0.0006223786619065502,-0.0036544471087435193,0.003032068446836969,0.5
large_trade_alignment_graph,community_avg_weight_feature,15m,top5_member,49,0.24194104534272284,-0.0010511636873715747,-0.0016856496205251564,0.0006344859331535817,0.25
large_trade_alignment_graph,community_avg_weight_feature,30m,top5_member,48,0.05647424543803693,-0.0018322567108202588,-0.0010350031813088356,-0.0007972535295114231,0.0
large_trade_alignment_graph,community_avg_weight_feature,1m,top10_member,49,0.0913314604287391,0.00031480385809917744,-0.0003815403473367146,0.000696344205435892,1.0
large_trade_alignment_graph,community_avg_weight_feature,5m,top10_member,49,0.3438028485093087,-0.0006223786619065502,-0.0036544471087435193,0.003032068446836969,0.5
large_trade_alignment_graph,community_avg_weight_feature,15m,top10_member,49,0.24194104534272284,-0.0010511636873715747,-0.0016856496205251564,0.0006344859331535817,0.25
large_trade_alignment_graph,community_avg_weight_feature,30m,top10_member,48,0.05647424543803693,-0.0018322567108202588,-0.0010350031813088356,-0.0007972535295114231,0.0
large_trade_alignment_graph,community_avg_weight_feature,1m,core_weighted,49,0.0866056480780957,0.0002924437056508225,-0.0004337366458714781,0.0007261803515223005,1.0
large_trade_alignment_graph,community_avg_weight_feature,5m,core_weighted,49,0.34565207942912574,-0.0006295324118879982,-0.00391648524300125,0.003286952831113252,0.5
large_trade_alignment_graph,community_avg_weight_feature,15m,core_weighted,49,0.25565617466469887,-0.001097298573596836,-0.001985928689510349,0.000888630115913513,0.25
large_trade_alignment_graph,community_avg_weight_feature,30m,core_weighted,48,0.054396780455805184,-0.0018373176148870226,-0.0012551446660233158,-0.0005821729488637067,0.0
large_trade_alignment_graph,positive_large_trade_breadth,1m,equal_weight,49,,-0.0017481821439478962,7.654993707791968e-05,-0.0018247320810258157,0.0
large_trade_alignment_graph,positive_large_trade_breadth,5m,equal_weight,49,,-0.0018660898979489388,0.0013828785703969605,-0.003248968468345899,0.0
large_trade_alignment_graph,positive_large_trade_breadth,15m,equal_weight,49,,-0.002597738646492133,-0.002293171558505974,-0.00030456708798615867,0.0
large_trade_alignment_graph,positive_large_trade_breadth,30m,equal_weight,48,,-0.001546696923516784,-0.002681094411625992,0.001134397488109208,0.25
large_trade_alignment_graph,positive_large_trade_breadth,1m,member_weight,49,,-0.0017481821439478962,7.654993707791968e-05,-0.0018247320810258157,0.0
large_trade_alignment_graph,positive_large_trade_breadth,5m,member_weight,49,,-0.0018660898979489388,0.0013828785703969605,-0.003248968468345899,0.0
large_trade_alignment_graph,positive_large_trade_breadth,15m,member_weight,49,,-0.002597738646492133,-0.002293171558505974,-0.00030456708798615867,0.0
large_trade_alignment_graph,positive_large_trade_breadth,30m,member_weight,48,,-0.001546696923516784,-0.002681094411625992,0.001134397488109208,0.25
large_trade_alignment_graph,positive_large_trade_breadth,1m,top5_member,49,,-0.0017481821439478962,7.654993707791968e-05,-0.0018247320810258157,0.0
