lifecycle_id,cluster_name,dominant_sector,dominant_industry,first_date,last_date,active_days,peak_momentum_score,avg_momentum_score,return_2m,avg_relative_strength_10d,top_members
L003,MATERIALS/ORE :: AEM-AG-AGI,UNKNOWN,UNKNOWN,2026-04-09 00:00:00-04:00,2026-05-06 00:00:00-04:00,20,0.7522715266143477,-0.007736868538414934,0.05471270628763694,-0.014825827423635122,"AA, OXM, PAAS, PAC, PAGS, PAYP"
L014,TECH/SOFTW :: ABNB-ACIW-ACN,HEALTHCARE,HCAREMISC,2026-04-09 00:00:00-04:00,2026-06-05 00:00:00-04:00,41,0.7436438254387906,0.041525148446152974,0.09213750689194376,-0.011903659100772448,"A, PLNT, PAYC, PAYO, PAYP, PAYS"
L005,HEALTHCARE/BIOPHARMAOTHER :: AAPL-AARD-ABBV,HEALTHCARE,HCAREMISC,2026-04-09 00:00:00-04:00,2026-06-05 00:00:00-04:00,41,0.7395442992087103,0.02633913166756059,-0.053143457568235915,-0.008100000804106744,"A, OLN, OSUR, ORMP, ORLA, ORKA"
L036,TECH/SEMIMFR :: ADMA-AGEN-AHCO,UNKNOWN,UNKNOWN,2026-04-24 00:00:00-04:00,2026-04-24 00:00:00-04:00,1,0.729387622411457,0.729387622411457,0.008299903277640333,0.08377341757487239,"ADMA, AGEN, JOYY, LAR, LEG, LPTH"
L059,UTIL/ENERGYUTIL :: AEE-AEP-AES,INDUSTRIAL,AERODEF,2026-05-07 00:00:00-04:00,2026-06-04 00:00:00-04:00,20,0.7176581642836354,0.00613414722646991,0.07685089703631942,-0.026170839599881434,"AAPL, NOC, PEP, PEN, PEG, PECO"
L012,ENERGY/OILGASINTEG :: ACDC-ADM-AESI,ENERGY,OILGASINTEG,2026-04-09 00:00:00-04:00,2026-06-05 00:00:00-04:00,41,0.7044119364799337,-0.2448633673252669,-0.02167357463812472,-0.03935179379345281,"AA, OVV, PED, PDS, PBT, PBR"
L013,HEALTHCARE/HCARESUPPORT :: ACNB-ACRE-ADAM,UNKNOWN,UNKNOWN,2026-04-09 00:00:00-04:00,2026-04-30 00:00:00-04:00,16,0.6778677412968859,0.13233950738285488,0.0013942914299682977,-0.013859506758839096,"ABR, NXST, ORIC, ORC, OPY, OPXS"
L079,INDUSTRIAL/TRAINTRUCK :: AEBI-ALNT-ARCB,UNKNOWN,UNKNOWN,2026-05-19 00:00:00-04:00,2026-05-29 00:00:00-04:00,8,0.6775506664340574,0.37259772738775054,0.06576941624462164,0.031247945626421993,"ACA, AEBI, RLGT, R, PSTL, PSMT"
L099,UTIL/ENERGYUTIL :: ACHC-AEE-AEP,UTIL,ENERGYUTIL,2026-06-04 00:00:00-04:00,2026-06-05 00:00:00-04:00,2,0.6070909846962551,0.22367150684735684,0.003922476972408861,0.02335180045986366,"ACHC, QMCO, PRA, PPL, POR, PNW"
L062,MATERIALS/ORE :: AEG-AEM-AER,TECH,SEMIMFR,2026-05-08 00:00:00-04:00,2026-05-12 00:00:00-04:00,3,0.5952671118643811,0.3867214610602514,0.04588909512598409,0.0341787043165828,"AAL, QCOM, OGC, OR, ORLA, PAAS"
