rule_id,month,horizon_minutes,signal_count,avg_net_return,median_net_return,hit_rate
regular_both,2026-03,1,25,-0.0004486684034821575,-0.00014106482866573772,0.48
regular_both,2026-03,3,25,-0.0016241094841441051,-0.0013555296192852228,0.4
regular_both,2026-03,5,25,-0.0006239042683203835,-0.000252422806767205,0.48
regular_both,2026-03,10,25,0.0004816411730743308,-0.0003462994623048219,0.48
regular_both,2026-03,15,25,0.00017367227799283645,0.0003496402723275118,0.56
regular_confirmed,2026-03,1,382,-0.0008446856073153285,-0.0006248508467591394,0.33507853403141363
regular_confirmed,2026-03,3,382,-0.0007489428469339189,-0.0005447124698937598,0.4031413612565445
regular_confirmed,2026-03,5,382,-0.0010023630116456118,-0.0004791599814757628,0.43455497382198954
regular_confirmed,2026-03,10,381,-0.0008721640102076931,-0.0004999550067490642,0.45144356955380577
regular_confirmed,2026-03,15,380,-0.0003683964903995692,-0.0007533229062276712,0.4394736842105263
regular_confirmed_both,2026-03,1,22,-0.00012769629667840654,0.0011588177942142065,0.5454545454545454
regular_confirmed_both,2026-03,3,22,-0.0015677833800344897,-0.0018606817234639527,0.45454545454545453
regular_confirmed_both,2026-03,5,22,-0.0005466832004921374,-5.166055423596587e-05,0.5
